S.No.,Rod 0,Rod 1,Rod 2,Move
1,"[3, 2, 1]",[],[],Initial state
2,"[3, 2]",[1],[],Move disc 1 from Rod 0 to Rod 1
3,"[3, 2]",[],[1],Move disc 1 from Rod 0 to Rod 2
4,[3],[1],[2],Move disc 2 from Rod 0 to Rod 2
5,[3],[2],[1],Move disc 2 from Rod 0 to Rod 1
6,"[3, 1]",[],[2],Move disc 1 from Rod 1 to Rod 0
7,[3],[],"[2, 1]",Move disc 1 from Rod 1 to Rod 2
8,"[3, 1]",[2],[],Move disc 1 from Rod 2 to Rod 0
9,[3],"[2, 1]",[],Move disc 1 from Rod 2 to Rod 1
10,[],[3],"[2, 1]",Move disc 3 from Rod 0 to Rod 1
11,[],"[2, 1]",[3],Move disc 3 from Rod 0 to Rod 2
12,[1],[3],[2],Move disc 1 from Rod 2 to Rod 0
13,[],"[3, 1]",[2],Move disc 1 from Rod 2 to Rod 1
14,[1],[2],[3],Move disc 1 from Rod 1 to Rod 0
15,[],[2],"[3, 1]",Move disc 1 from Rod 1 to Rod 2
16,[1],"[3, 2]",[],Move disc 2 from Rod 2 to Rod 1
17,[2],"[3, 1]",[],Move disc 2 from Rod 2 to Rod 0
18,[1],[],"[3, 2]",Move disc 2 from Rod 1 to Rod 2
19,[2],[],"[3, 1]",Move disc 2 from Rod 1 to Rod 0
20,[],"[3, 2, 1]",[],Move disc 1 from Rod 0 to Rod 1
21,[],"[3, 2]",[1],Move disc 1 from Rod 0 to Rod 2
22,"[2, 1]",[3],[],Move disc 1 from Rod 1 to Rod 0
23,[2],[3],[1],Move disc 1 from Rod 1 to Rod 2
24,[],[1],"[3, 2]",Move disc 1 from Rod 0 to Rod 1
25,[],[],"[3, 2, 1]",Move disc 1 from Rod 0 to Rod 2
Goal state reached after exploring 25 states.,,,,Solution path length: 7 moves.
