Iteration: 1, Temp: 950.0000, Current Tour: [0, 3, 1, 2], Current Cost: 95.00
Iteration: 2, Temp: 902.5000, Current Tour: [3, 0, 1, 2], Current Cost: 95.00
Iteration: 3, Temp: 857.3750, Current Tour: [3, 2, 1, 0], Current Cost: 95.00
Iteration: 4, Temp: 814.5062, Current Tour: [2, 3, 1, 0], Current Cost: 80.00
Iteration: 5, Temp: 773.7809, Current Tour: [2, 0, 1, 3], Current Cost: 80.00
Iteration: 6, Temp: 735.0919, Current Tour: [2, 3, 1, 0], Current Cost: 80.00
Iteration: 7, Temp: 698.3373, Current Tour: [1, 3, 2, 0], Current Cost: 80.00
Iteration: 8, Temp: 663.4204, Current Tour: [0, 3, 2, 1], Current Cost: 95.00
Iteration: 9, Temp: 630.2494, Current Tour: [0, 2, 3, 1], Current Cost: 80.00
Iteration: 10, Temp: 598.7369, Current Tour: [0, 3, 2, 1], Current Cost: 95.00
Iteration: 11, Temp: 568.8001, Current Tour: [1, 3, 2, 0], Current Cost: 80.00
Iteration: 12, Temp: 540.3601, Current Tour: [1, 2, 3, 0], Current Cost: 95.00
Iteration: 13, Temp: 513.3421, Current Tour: [3, 2, 1, 0], Current Cost: 95.00
Iteration: 14, Temp: 487.6750, Current Tour: [2, 3, 1, 0], Current Cost: 80.00
Iteration: 15, Temp: 463.2912, Current Tour: [1, 3, 2, 0], Current Cost: 80.00
Iteration: 16, Temp: 440.1267, Current Tour: [0, 3, 2, 1], Current Cost: 95.00
Iteration: 17, Temp: 418.1203, Current Tour: [2, 3, 0, 1], Current Cost: 95.00
Iteration: 18, Temp: 397.2143, Current Tour: [2, 3, 1, 0], Current Cost: 80.00
Iteration: 19, Temp: 377.3536, Current Tour: [2, 1, 3, 0], Current Cost: 95.00
Iteration: 20, Temp: 358.4859, Current Tour: [3, 1, 2, 0], Current Cost: 95.00
Iteration: 21, Temp: 340.5616, Current Tour: [0, 1, 2, 3], Current Cost: 95.00
Iteration: 22, Temp: 323.5335, Current Tour: [3, 1, 2, 0], Current Cost: 95.00
Iteration: 23, Temp: 307.3569, Current Tour: [3, 2, 1, 0], Current Cost: 95.00
Iteration: 24, Temp: 291.9890, Current Tour: [2, 3, 1, 0], Current Cost: 80.00
Iteration: 25, Temp: 277.3896, Current Tour: [2, 3, 0, 1], Current Cost: 95.00
Iteration: 26, Temp: 263.5201, Current Tour: [2, 1, 0, 3], Current Cost: 95.00
Iteration: 27, Temp: 250.3441, Current Tour: [1, 2, 0, 3], Current Cost: 95.00
Iteration: 28, Temp: 237.8269, Current Tour: [1, 0, 2, 3], Current Cost: 80.00
Iteration: 29, Temp: 225.9355, Current Tour: [1, 2, 0, 3], Current Cost: 95.00
Iteration: 30, Temp: 214.6388, Current Tour: [0, 2, 1, 3], Current Cost: 95.00
Iteration: 31, Temp: 203.9068, Current Tour: [3, 2, 1, 0], Current Cost: 95.00
Iteration: 32, Temp: 193.7115, Current Tour: [3, 1, 2, 0], Current Cost: 95.00
Iteration: 33, Temp: 184.0259, Current Tour: [3, 2, 1, 0], Current Cost: 95.00
Iteration: 34, Temp: 174.8246, Current Tour: [3, 2, 0, 1], Current Cost: 80.00
Iteration: 35, Temp: 166.0834, Current Tour: [1, 2, 0, 3], Current Cost: 95.00
Iteration: 36, Temp: 157.7792, Current Tour: [0, 2, 1, 3], Current Cost: 95.00
Iteration: 37, Temp: 149.8903, Current Tour: [0, 2, 3, 1], Current Cost: 80.00
Iteration: 38, Temp: 142.3957, Current Tour: [0, 1, 3, 2], Current Cost: 80.00
Iteration: 39, Temp: 135.2760, Current Tour: [0, 1, 2, 3], Current Cost: 95.00
Iteration: 40, Temp: 128.5122, Current Tour: [1, 0, 2, 3], Current Cost: 80.00
Iteration: 41, Temp: 122.0865, Current Tour: [1, 2, 0, 3], Current Cost: 95.00
Iteration: 42, Temp: 115.9822, Current Tour: [1, 2, 3, 0], Current Cost: 95.00
Iteration: 43, Temp: 110.1831, Current Tour: [2, 1, 3, 0], Current Cost: 95.00
Iteration: 44, Temp: 104.6740, Current Tour: [3, 1, 2, 0], Current Cost: 95.00
Iteration: 45, Temp: 99.4403, Current Tour: [2, 1, 3, 0], Current Cost: 95.00
Iteration: 46, Temp: 94.4682, Current Tour: [3, 1, 2, 0], Current Cost: 95.00
Iteration: 47, Temp: 89.7448, Current Tour: [0, 1, 2, 3], Current Cost: 95.00
Iteration: 48, Temp: 85.2576, Current Tour: [1, 0, 2, 3], Current Cost: 80.00
Iteration: 49, Temp: 80.9947, Current Tour: [2, 0, 1, 3], Current Cost: 80.00
Iteration: 50, Temp: 76.9450, Current Tour: [3, 0, 1, 2], Current Cost: 95.00
Iteration: 51, Temp: 73.0977, Current Tour: [3, 0, 2, 1], Current Cost: 95.00
